user_id,name,email,activity,signup_source
1,User 1,user1@@invalid,basketball,web
2,User 2,,machine learning class,web
3,,user3@example.com,database class,web
4,User 4,user4@example.com,basketball,web
5,User 5,user5@mail.com,lab session,web
6,User 6,user6@example.com,lab session,web
7,User 7,user7@university.edu,basketball,web
8,User 8,user8@example.com,basketball,web
9,User 9,user9@example.com,database class,web
10,User 10,user10@mail.com,lab session,web
11,User 11,user11@example.com,lab session,web
12,User 12,user12@example.com,lab session,web
13,User 13,user13@university.edu,database class,web
14,User 14,user14@university.edu,lab session,web
15,User 15,user15@university.edu,basketball,web
16,User 16,user16@example.com,project meeting,web
17,User 17,user17@university.edu,machine learning class,web
18,User 18,user18@example.com,database class,web
19,User 19,user19@university.edu,basketball,web
20,User 20,user20@example.com,project meeting,web
